Student_ID,Name,Math,Science,English,Computer,Total,Average,Result,Grade
101,Aarav,85,78,90,88,341,85.25,Pass,A
102,Anaya,92,89,95,94,370,92.5,Pass,A+
103,Rohan,65,70,68,72,275,68.75,Pass,C
104,Neha,78,82,75,80,315,78.75,Pass,B
105,Vivek,55,60,58,62,235,58.75,Pass,D
106,Priya,88,91,85,90,354,88.5,Pass,A
107,Akash,45,50,48,52,195,48.75,Pass,F
108,Sneha,95,93,97,96,381,95.25,Pass,A+
109,Rahul,72,68,75,70,285,71.25,Pass,B
110,Pooja,81,79,84,86,330,82.5,Pass,A
111,Om,62,65,60,67,254,63.5,Pass,C
112,Isha,90,87,92,89,358,89.5,Pass,A
113,Kunal,38,45,42,40,165,41.25,Fail,F
114,Riya,76,74,80,78,308,77.0,Pass,B
115,Aditya,68,72,65,70,275,68.75,Pass,C
116,Meera,84,86,82,88,340,85.0,Pass,A
117,Sahil,50,55,52,58,215,53.75,Pass,D
118,Kavya,91,94,89,93,367,91.75,Pass,A+
119,Manav,73,77,70,75,295,73.75,Pass,B
120,Tanvi,87,85,90,88,350,87.5,Pass,A
